name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183011 609003000   -0.12494 1.31893 0.872602
anonymous:0 1603183011 619483000   -0.127018 1.31792 0.872494
anonymous:0 1603183011 629346000   -0.130331 1.3167 0.872737
anonymous:0 1603183011 639603000   -0.133871 1.31599 0.872549
anonymous:0 1603183011 649583000   -0.137212 1.31469 0.87239
anonymous:0 1603183011 659450000   -0.141462 1.31402 0.872882
anonymous:0 1603183011 669661000   -0.145201 1.31252 0.872965
anonymous:0 1603183011 679617000   -0.141568 1.31013 0.876148
anonymous:0 1603183011 689518000   -0.152565 1.31012 0.873021
anonymous:0 1603183011 699652000   -0.156297 1.30852 0.873299
anonymous:0 1603183011 709586000   -0.161163 1.30726 0.873516
anonymous:0 1603183011 719649000   -0.164418 1.3054 0.874267
anonymous:0 1603183011 729516000   -0.169078 1.30399 0.874491
anonymous:0 1603183011 739549000   -0.173098 1.30218 0.874919
anonymous:0 1603183011 749596000   -0.176981 1.30032 0.875548
anonymous:0 1603183011 759567000   -0.18096 1.29843 0.876415
anonymous:0 1603183011 769848000   -0.184522 1.29635 0.876502
anonymous:0 1603183011 780050000   -0.188938 1.29464 0.877178
anonymous:0 1603183011 789513000   -0.191944 1.29213 0.878218
anonymous:0 1603183011 799545000   -0.19536 1.2897 0.878279
anonymous:0 1603183011 809098000   -0.191474 1.28639 0.881837
anonymous:0 1603183011 819303000   -0.202277 1.28539 0.879051
anonymous:0 1603183011 829617000   -0.204664 1.28264 0.879822
anonymous:0 1603183011 839313000   -0.207057 1.27989 0.880305
anonymous:0 1603183011 849623000   -0.202906 1.27624 0.883934
anonymous:0 1603183011 859405000   -0.212107 1.2745 0.881382
anonymous:0 1603183011 869675000   -0.214168 1.27167 0.881861
anonymous:0 1603183011 879891000   -0.216109 1.26878 0.882317
anonymous:0 1603183011 889320000   -0.217489 1.26585 0.882835
anonymous:0 1603183011 899327000   -0.218751 1.26274 0.883334
anonymous:0 1603183011 909484000   -0.218942 1.25948 0.88381
anonymous:0 1603183011 919393000   -0.219396 1.25642 0.88429
anonymous:0 1603183011 929583000   -0.218399 1.25263 0.884871
anonymous:0 1603183011 939434000   -0.217118 1.24864 0.88558
anonymous:0 1603183011 949818000   -0.215349 1.24443 0.885881
anonymous:0 1603183011 959506000   -0.212823 1.23992 0.886598
anonymous:0 1603183011 969060000   -0.20976 1.23528 0.887069
anonymous:0 1603183011 979262000   -0.205521 1.23002 0.888148
anonymous:0 1603183011 989229000   -0.201887 1.22499 0.888173
anonymous:0 1603183011 999264000   -0.198402 1.21971 0.888991
anonymous:0 1603183012 9278000   -0.195009 1.21378 0.889932
anonymous:0 1603183012 19256000   -0.192307 1.20778 0.891083
anonymous:0 1603183012 29291000   -0.190032 1.20108 0.892889
anonymous:0 1603183012 38836000   -0.188299 1.19357 0.895197
anonymous:0 1603183012 49115000   -0.186124 1.18515 0.898205
anonymous:0 1603183012 58885000   -0.184896 1.17559 0.901808
anonymous:0 1603183012 69229000   -0.182896 1.1659 0.906275
anonymous:0 1603183012 79642000   -0.180922 1.15482 0.911725
anonymous:0 1603183012 88951000   -0.178025 1.14339 0.918401
anonymous:0 1603183012 99392000   -0.175614 1.13082 0.925754
anonymous:0 1603183012 109318000   -0.171834 1.11788 0.93417
anonymous:0 1603183012 119120000   -0.168351 1.1044 0.943353
anonymous:0 1603183012 128793000   -0.164239 1.09044 0.953313
anonymous:0 1603183012 138972000   -0.160381 1.07616 0.964308
anonymous:0 1603183012 149022000   -0.156318 1.06188 0.976149
anonymous:0 1603183012 158779000   -0.151792 1.04728 0.988795
anonymous:0 1603183012 168927000   -0.147106 1.03243 1.0022
anonymous:0 1603183012 179061000   -0.141734 1.01756 1.0166
anonymous:0 1603183012 188800000   -0.136516 1.00277 1.03162
anonymous:0 1603183012 199305000   -0.130103 0.988269 1.0478
anonymous:0 1603183012 208728000   -0.123879 0.973771 1.06488
anonymous:0 1603183012 218097000   -0.11786 0.959957 1.08252
anonymous:0 1603183012 228549000   -0.11096 0.945947 1.10133
anonymous:0 1603183012 237812000   -0.103403 0.932298 1.12128
anonymous:0 1603183012 247664000   -0.0954649 0.919135 1.1424
anonymous:0 1603183012 257582000   -0.0873382 0.906779 1.16447
anonymous:0 1603183012 267593000   -0.0786701 0.895408 1.18802
anonymous:0 1603183012 277703000   -0.0702197 0.885694 1.21242
anonymous:0 1603183012 287514000   -0.0628053 0.877507 1.23653
anonymous:0 1603183012 297289000   -0.0525808 0.869587 1.2619
anonymous:0 1603183012 307246000   -0.0442372 0.863445 1.28711
anonymous:0 1603183012 317464000   -0.0350883 0.858351 1.3121
anonymous:0 1603183012 328715000   -0.0266831 0.854145 1.3367
