name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183101 100874000   -0.284988 0.619092 1.50513
anonymous:0 1603183101 111065000   -0.293678 0.617166 1.50475
anonymous:0 1603183101 120870000   -0.302646 0.615846 1.50428
anonymous:0 1603183101 130782000   -0.312028 0.614698 1.50401
anonymous:0 1603183101 140261000   -0.320941 0.613555 1.50392
anonymous:0 1603183101 150152000   -0.330214 0.612663 1.50344
anonymous:0 1603183101 160459000   -0.339352 0.612001 1.50323
anonymous:0 1603183101 170431000   -0.348395 0.611592 1.50301
anonymous:0 1603183101 180770000   -0.357569 0.611527 1.50255
anonymous:0 1603183101 190019000   -0.366451 0.611653 1.50242
anonymous:0 1603183101 200515000   -0.375397 0.611922 1.50198
anonymous:0 1603183101 210985000   -0.383895 0.612409 1.50201
anonymous:0 1603183101 220886000   -0.392797 0.613462 1.5021
anonymous:0 1603183101 230624000   -0.401498 0.61438 1.50208
anonymous:0 1603183101 240695000   -0.41016 0.615607 1.50207
anonymous:0 1603183101 250825000   -0.41859 0.61698 1.50229
anonymous:0 1603183101 260709000   -0.427066 0.618451 1.50249
anonymous:0 1603183101 271019000   -0.435539 0.620265 1.50267
anonymous:0 1603183101 280891000   -0.443788 0.622109 1.50293
anonymous:0 1603183101 290698000   -0.45225 0.624303 1.50321
anonymous:0 1603183101 300923000   -0.459977 0.626065 1.50344
anonymous:0 1603183101 310725000   -0.468144 0.628614 1.50388
anonymous:0 1603183101 320647000   -0.475529 0.631152 1.50454
anonymous:0 1603183101 330769000   -0.483352 0.633783 1.50487
anonymous:0 1603183101 340701000   -0.490559 0.636216 1.50548
anonymous:0 1603183101 350521000   -0.497879 0.638942 1.50604
anonymous:0 1603183101 360467000   -0.505043 0.641899 1.50664
anonymous:0 1603183101 370422000   -0.512096 0.644795 1.50737
anonymous:0 1603183101 380737000   -0.518864 0.647727 1.508
anonymous:0 1603183101 390478000   -0.526179 0.650932 1.5085
anonymous:0 1603183101 400856000   -0.532581 0.653804 1.5089
anonymous:0 1603183101 410272000   -0.539778 0.657225 1.50926
anonymous:0 1603183101 419824000   -0.546256 0.660431 1.50969
anonymous:0 1603183101 429601000   -0.541771 0.665752 1.51153
anonymous:0 1603183101 439448000   -0.559306 0.667642 1.51073
anonymous:0 1603183101 449108000   -0.565751 0.670888 1.51109
anonymous:0 1603183101 460026000   -0.572062 0.674444 1.51132
anonymous:0 1603183101 469904000   -0.567265 0.679893 1.51317
anonymous:0 1603183101 480393000   -0.57313 0.68342 1.51352
anonymous:0 1603183101 490077000   -0.579215 0.687007 1.51391
anonymous:0 1603183101 500278000   -0.585269 0.690594 1.51432
anonymous:0 1603183101 510044000   -0.591017 0.694213 1.51459
anonymous:0 1603183101 520583000   -0.596561 0.697691 1.51491
anonymous:0 1603183101 530176000   -0.601967 0.701266 1.51506
anonymous:0 1603183101 540429000   -0.607633 0.704794 1.5154
anonymous:0 1603183101 550029000   -0.612996 0.708517 1.51558
anonymous:0 1603183101 560216000   -0.61829 0.71211 1.51565
anonymous:0 1603183101 570681000   -0.623434 0.715725 1.51575
anonymous:0 1603183101 580890000   -0.628308 0.719361 1.51571
anonymous:0 1603183101 590729000   -0.633214 0.723 1.51567
anonymous:0 1603183101 600700000   -0.638058 0.72662 1.51573
anonymous:0 1603183101 610968000   -0.642767 0.730269 1.51568
anonymous:0 1603183101 621100000   -0.647257 0.733996 1.51559
anonymous:0 1603183101 630849000   -0.651642 0.737723 1.51554
anonymous:0 1603183101 640742000   -0.655925 0.741394 1.51548
anonymous:0 1603183101 650987000   -0.659382 0.745628 1.51483
anonymous:0 1603183101 660614000   -0.674983 0.746439 1.51521
anonymous:0 1603183101 670487000   -0.678705 0.750012 1.51503
anonymous:0 1603183101 680435000   -0.68232 0.754076 1.51499
anonymous:0 1603183101 690555000   -0.685439 0.758037 1.51469
anonymous:0 1603183101 700614000   -0.678388 0.76445 1.51426
anonymous:0 1603183101 710699000   -0.691283 0.766286 1.51412
anonymous:0 1603183101 720824000   -0.684457 0.772664 1.51348
anonymous:0 1603183101 730853000   -0.690252 0.776249 1.51539
anonymous:0 1603183101 741015000   -0.700253 0.777348 1.51313
anonymous:0 1603183101 751207000   -0.691504 0.786006 1.51129
anonymous:0 1603183101 761044000   -0.693819 0.790212 1.51053
